Year,Province,Division,District,VehicleType,Count
2015,Punjab,Bahawalpur,Bahawalpur,Motor Cars/Jeeps/Station Wagons,17321.0
2015,Punjab,Bahawalpur,Bahawalpur,Motor Cycles/Scooters,375230.0
2015,Punjab,Bahawalpur,Bahawalpur,Pickups/Delivery Vans,723.0
2015,Punjab,Bahawalpur,Bahawalpur,Trucks,4310.0
2015,Punjab,Bahawalpur,Bahawalpur,Mini Buses/Buses/Flying/Luxury Coaches,1059.0
2015,Punjab,Bahawalpur,Bahawalpur,Taxis,3419.0
2015,Punjab,Bahawalpur,Bahawalpur,Auto Rickshaws,5994.0
2015,Punjab,Bahawalpur,Bahawalpur,Tractors,26845.0
2015,Punjab,Bahawalpur,Bahawalpur,Other Vehicles,138.0
2015,Punjab,Bahawalpur,Bahawalnagar,Motor Cars/Jeeps/Station Wagons,2670.0
2015,Punjab,Bahawalpur,Bahawalnagar,Motor Cycles/Scooters,236387.0
2015,Punjab,Bahawalpur,Bahawalnagar,Pickups/Delivery Vans,105.0
2015,Punjab,Bahawalpur,Bahawalnagar,Trucks,353.0
2015,Punjab,Bahawalpur,Bahawalnagar,Mini Buses/Buses/Flying/Luxury Coaches,213.0
2015,Punjab,Bahawalpur,Bahawalnagar,Taxis,186.0
2015,Punjab,Bahawalpur,Bahawalnagar,Auto Rickshaws,627.0
2015,Punjab,Bahawalpur,Bahawalnagar,Tractors,32600.0
2015,Punjab,Bahawalpur,Bahawalnagar,Other Vehicles,141.0
2015,Punjab,Bahawalpur,R.Y.Khan,Motor Cars/Jeeps/Station Wagons,13013.0
2015,Punjab,Bahawalpur,R.Y.Khan,Motor Cycles/Scooters,541594.0
2015,Punjab,Bahawalpur,R.Y.Khan,Pickups/Delivery Vans,913.0
2015,Punjab,Bahawalpur,R.Y.Khan,Trucks,5754.0
2015,Punjab,Bahawalpur,R.Y.Khan,Mini Buses/Buses/Flying/Luxury Coaches,1161.0
2015,Punjab,Bahawalpur,R.Y.Khan,Taxis,143.0
2015,Punjab,Bahawalpur,R.Y.Khan,Auto Rickshaws,247.0
2015,Punjab,Bahawalpur,R.Y.Khan,Tractors,42656.0
2015,Punjab,Bahawalpur,R.Y.Khan,Other Vehicles,33.0
2015,Punjab,D.G.Khan,D.G.Khan,Motor Cars/Jeeps/Station Wagons,7198.0
2015,Punjab,D.G.Khan,D.G.Khan,Motor Cycles/Scooters,376253.0
2015,Punjab,D.G.Khan,D.G.Khan,Pickups/Delivery Vans,867.0
2015,Punjab,D.G.Khan,D.G.Khan,Trucks,412.0
2015,Punjab,D.G.Khan,D.G.Khan,Mini Buses/Buses/Flying/Luxury Coaches,202.0
2015,Punjab,D.G.Khan,D.G.Khan,Taxis,1451.0
2015,Punjab,D.G.Khan,D.G.Khan,Auto Rickshaws,580.0
2015,Punjab,D.G.Khan,D.G.Khan,Tractors,71412.0
2015,Punjab,D.G.Khan,D.G.Khan,Other Vehicles,187.0
2015,Punjab,D.G.Khan,Layyah,Motor Cars/Jeeps/Station Wagons,3788.0
2015,Punjab,D.G.Khan,Layyah,Motor Cycles/Scooters,117400.0
2015,Punjab,D.G.Khan,Layyah,Pickups/Delivery Vans,46.0
2015,Punjab,D.G.Khan,Layyah,Trucks,409.0
2015,Punjab,D.G.Khan,Layyah,Mini Buses/Buses/Flying/Luxury Coaches,99.0
2015,Punjab,D.G.Khan,Layyah,Taxis,121.0
2015,Punjab,D.G.Khan,Layyah,Auto Rickshaws,2645.0
2015,Punjab,D.G.Khan,Layyah,Tractors,12918.0
2015,Punjab,D.G.Khan,Layyah,Other Vehicles,138.0
2015,Punjab,D.G.Khan,Muzaffargarh,Motor Cars/Jeeps/Station Wagons,4186.0
2015,Punjab,D.G.Khan,Muzaffargarh,Motor Cycles/Scooters,115853.0
2015,Punjab,D.G.Khan,Muzaffargarh,Pickups/Delivery Vans,352.0
2015,Punjab,D.G.Khan,Muzaffargarh,Trucks,459.0
2015,Punjab,D.G.Khan,Muzaffargarh,Mini Buses/Buses/Flying/Luxury Coaches,297.0
2015,Punjab,D.G.Khan,Muzaffargarh,Taxis,129.0
2015,Punjab,D.G.Khan,Muzaffargarh,Auto Rickshaws,766.0
2015,Punjab,D.G.Khan,Muzaffargarh,Tractors,20821.0
2015,Punjab,D.G.Khan,Muzaffargarh,Other Vehicles,44.0
2015,Punjab,D.G.Khan,Rajanpur,Motor Cars/Jeeps/Station Wagons,786.0
2015,Punjab,D.G.Khan,Rajanpur,Motor Cycles/Scooters,37077.0
2015,Punjab,D.G.Khan,Rajanpur,Pickups/Delivery Vans,31.0
2015,Punjab,D.G.Khan,Rajanpur,Trucks,310.0
2015,Punjab,D.G.Khan,Rajanpur,Mini Buses/Buses/Flying/Luxury Coaches,53.0
2015,Punjab,D.G.Khan,Rajanpur,Taxis,190.0
2015,Punjab,D.G.Khan,Rajanpur,Auto Rickshaws,0.0
2015,Punjab,D.G.Khan,Rajanpur,Tractors,2901.0
2015,Punjab,D.G.Khan,Rajanpur,Other Vehicles,20.0
2015,Punjab,Faisalabad,Faisalabad,Motor Cars/Jeeps/Station Wagons,86797.0
2015,Punjab,Faisalabad,Faisalabad,Motor Cycles/Scooters,946623.0
2015,Punjab,Faisalabad,Faisalabad,Pickups/Delivery Vans,11943.0
2015,Punjab,Faisalabad,Faisalabad,Trucks,8441.0
2015,Punjab,Faisalabad,Faisalabad,Mini Buses/Buses/Flying/Luxury Coaches,5653.0
2015,Punjab,Faisalabad,Faisalabad,Taxis,3245.0
2015,Punjab,Faisalabad,Faisalabad,Auto Rickshaws,21292.0
2015,Punjab,Faisalabad,Faisalabad,Tractors,30476.0
2015,Punjab,Faisalabad,Faisalabad,Other Vehicles,101.0
2015,Punjab,Faisalabad,Chiniot,Motor Cars/Jeeps/Station Wagons,161.0
2015,Punjab,Faisalabad,Chiniot,Motor Cycles/Scooters,36756.0
2015,Punjab,Faisalabad,Chiniot,Pickups/Delivery Vans,270.0
2015,Punjab,Faisalabad,Chiniot,Trucks,43.0
2015,Punjab,Faisalabad,Chiniot,Mini Buses/Buses/Flying/Luxury Coaches,0.0
2015,Punjab,Faisalabad,Chiniot,Taxis,0.0
2015,Punjab,Faisalabad,Chiniot,Auto Rickshaws,5429.0
2015,Punjab,Faisalabad,Chiniot,Tractors,889.0
2015,Punjab,Faisalabad,Chiniot,Other Vehicles,217.0
2015,Punjab,Faisalabad,Jhang,Motor Cars/Jeeps/Station Wagons,3510.0
2015,Punjab,Faisalabad,Jhang,Motor Cycles/Scooters,169255.0
2015,Punjab,Faisalabad,Jhang,Pickups/Delivery Vans,1069.0
2015,Punjab,Faisalabad,Jhang,Trucks,455.0
2015,Punjab,Faisalabad,Jhang,Mini Buses/Buses/Flying/Luxury Coaches,1127.0
2015,Punjab,Faisalabad,Jhang,Taxis,130.0
2015,Punjab,Faisalabad,Jhang,Auto Rickshaws,11278.0
2015,Punjab,Faisalabad,Jhang,Tractors,25938.0
2015,Punjab,Faisalabad,Jhang,Other Vehicles,62.0
2015,Punjab,Faisalabad,T.T.Singh,Motor Cars/Jeeps/Station Wagons,1851.0
2015,Punjab,Faisalabad,T.T.Singh,Motor Cycles/Scooters,161418.0
2015,Punjab,Faisalabad,T.T.Singh,Pickups/Delivery Vans,273.0
2015,Punjab,Faisalabad,T.T.Singh,Trucks,94.0
2015,Punjab,Faisalabad,T.T.Singh,Mini Buses/Buses/Flying/Luxury Coaches,115.0
2015,Punjab,Faisalabad,T.T.Singh,Taxis,108.0
2015,Punjab,Faisalabad,T.T.Singh,Auto Rickshaws,2076.0
2015,Punjab,Faisalabad,T.T.Singh,Tractors,14768.0
2015,Punjab,Faisalabad,T.T.Singh,Other Vehicles,47.0
2015,Punjab,Gujranwala,Gujranwala,Motor Cars/Jeeps/Station Wagons,25001.0
2015,Punjab,Gujranwala,Gujranwala,Motor Cycles/Scooters,608883.0
2015,Punjab,Gujranwala,Gujranwala,Pickups/Delivery Vans,9037.0
2015,Punjab,Gujranwala,Gujranwala,Trucks,2516.0
2015,Punjab,Gujranwala,Gujranwala,Mini Buses/Buses/Flying/Luxury Coaches,2041.0
2015,Punjab,Gujranwala,Gujranwala,Taxis,2691.0
2015,Punjab,Gujranwala,Gujranwala,Auto Rickshaws,7096.0
2015,Punjab,Gujranwala,Gujranwala,Tractors,31421.0
2015,Punjab,Gujranwala,Gujranwala,Other Vehicles,608.0
2015,Punjab,Gujranwala,Gujrat,Motor Cars/Jeeps/Station Wagons,9891.0
2015,Punjab,Gujranwala,Gujrat,Motor Cycles/Scooters,315640.0
2015,Punjab,Gujranwala,Gujrat,Pickups/Delivery Vans,1099.0
2015,Punjab,Gujranwala,Gujrat,Trucks,3559.0
2015,Punjab,Gujranwala,Gujrat,Mini Buses/Buses/Flying/Luxury Coaches,2134.0
2015,Punjab,Gujranwala,Gujrat,Taxis,422.0
2015,Punjab,Gujranwala,Gujrat,Auto Rickshaws,4824.0
2015,Punjab,Gujranwala,Gujrat,Tractors,19580.0
2015,Punjab,Gujranwala,Gujrat,Other Vehicles,118.0
2015,Punjab,Gujranwala,Hafizabad,Motor Cars/Jeeps/Station Wagons,353.0
2015,Punjab,Gujranwala,Hafizabad,Motor Cycles/Scooters,63646.0
2015,Punjab,Gujranwala,Hafizabad,Pickups/Delivery Vans,9.0
2015,Punjab,Gujranwala,Hafizabad,Trucks,267.0
2015,Punjab,Gujranwala,Hafizabad,Mini Buses/Buses/Flying/Luxury Coaches,14.0
2015,Punjab,Gujranwala,Hafizabad,Taxis,0.0
2015,Punjab,Gujranwala,Hafizabad,Auto Rickshaws,27.0
2015,Punjab,Gujranwala,Hafizabad,Tractors,5771.0
2015,Punjab,Gujranwala,Hafizabad,Other Vehicles,19.0
2015,Punjab,Gujranwala,M.B.Din,Motor Cars/Jeeps/Station Wagons,767.0
2015,Punjab,Gujranwala,M.B.Din,Motor Cycles/Scooters,115265.0
2015,Punjab,Gujranwala,M.B.Din,Pickups/Delivery Vans,253.0
2015,Punjab,Gujranwala,M.B.Din,Trucks,19.0
2015,Punjab,Gujranwala,M.B.Din,Mini Buses/Buses/Flying/Luxury Coaches,39.0
2015,Punjab,Gujranwala,M.B.Din,Taxis,10.0
2015,Punjab,Gujranwala,M.B.Din,Auto Rickshaws,1335.0
2015,Punjab,Gujranwala,M.B.Din,Tractors,7323.0
2015,Punjab,Gujranwala,M.B.Din,Other Vehicles,29.0
2015,Punjab,Gujranwala,Narowal,Motor Cars/Jeeps/Station Wagons,228.0
2015,Punjab,Gujranwala,Narowal,Motor Cycles/Scooters,53025.0
2015,Punjab,Gujranwala,Narowal,Pickups/Delivery Vans,4.0
2015,Punjab,Gujranwala,Narowal,Trucks,250.0
2015,Punjab,Gujranwala,Narowal,Mini Buses/Buses/Flying/Luxury Coaches,34.0
2015,Punjab,Gujranwala,Narowal,Taxis,365.0
2015,Punjab,Gujranwala,Narowal,Auto Rickshaws,866.0
2015,Punjab,Gujranwala,Narowal,Tractors,8847.0
2015,Punjab,Gujranwala,Narowal,Other Vehicles,17.0
2015,Punjab,Gujranwala,Sialkot,Motor Cars/Jeeps/Station Wagons,30621.0
2015,Punjab,Gujranwala,Sialkot,Motor Cycles/Scooters,481974.0
2015,Punjab,Gujranwala,Sialkot,Pickups/Delivery Vans,8561.0
2015,Punjab,Gujranwala,Sialkot,Trucks,727.0
2015,Punjab,Gujranwala,Sialkot,Mini Buses/Buses/Flying/Luxury Coaches,1588.0
2015,Punjab,Gujranwala,Sialkot,Taxis,581.0
2015,Punjab,Gujranwala,Sialkot,Auto Rickshaws,10180.0
2015,Punjab,Gujranwala,Sialkot,Tractors,26231.0
2015,Punjab,Gujranwala,Sialkot,Other Vehicles,145.0
2015,Punjab,Lahore,Lahore,Motor Cars/Jeeps/Station Wagons,1070243.0
2015,Punjab,Lahore,Lahore,Motor Cycles/Scooters,2763872.0
2015,Punjab,Lahore,Lahore,Pickups/Delivery Vans,36265.0
2015,Punjab,Lahore,Lahore,Trucks,130344.0
2015,Punjab,Lahore,Lahore,Mini Buses/Buses/Flying/Luxury Coaches,50519.0
2015,Punjab,Lahore,Lahore,Taxis,17404.0
2015,Punjab,Lahore,Lahore,Auto Rickshaws,149562.0
2015,Punjab,Lahore,Lahore,Tractors,47356.0
2015,Punjab,Lahore,Lahore,Other Vehicles,22097.0
2015,Punjab,Lahore,Kasur,Motor Cars/Jeeps/Station Wagons,792.0
2015,Punjab,Lahore,Kasur,Motor Cycles/Scooters,19818.0
2015,Punjab,Lahore,Kasur,Pickups/Delivery Vans,253.0
2015,Punjab,Lahore,Kasur,Trucks,785.0
2015,Punjab,Lahore,Kasur,Mini Buses/Buses/Flying/Luxury Coaches,259.0
2015,Punjab,Lahore,Kasur,Taxis,170.0
2015,Punjab,Lahore,Kasur,Auto Rickshaws,1825.0
2015,Punjab,Lahore,Kasur,Tractors,31519.0
2015,Punjab,Lahore,Kasur,Other Vehicles,62.0
2015,Punjab,Lahore,Nankana Sahib,Motor Cars/Jeeps/Station Wagons,147.0
2015,Punjab,Lahore,Nankana Sahib,Motor Cycles/Scooters,24211.0
2015,Punjab,Lahore,Nankana Sahib,Pickups/Delivery Vans,24.0
2015,Punjab,Lahore,Nankana Sahib,Trucks,40.0
2015,Punjab,Lahore,Nankana Sahib,Mini Buses/Buses/Flying/Luxury Coaches,8.0
2015,Punjab,Lahore,Nankana Sahib,Taxis,0.0
2015,Punjab,Lahore,Nankana Sahib,Auto Rickshaws,31.0
2015,Punjab,Lahore,Nankana Sahib,Tractors,1696.0
2015,Punjab,Lahore,Nankana Sahib,Other Vehicles,20.0
2015,Punjab,Lahore,Sheikhupura,Motor Cars/Jeeps/Station Wagons,4630.0
2015,Punjab,Lahore,Sheikhupura,Motor Cycles/Scooters,41061.0
2015,Punjab,Lahore,Sheikhupura,Pickups/Delivery Vans,786.0
2015,Punjab,Lahore,Sheikhupura,Trucks,563.0
2015,Punjab,Lahore,Sheikhupura,Mini Buses/Buses/Flying/Luxury Coaches,1067.0
2015,Punjab,Lahore,Sheikhupura,Taxis,310.0
2015,Punjab,Lahore,Sheikhupura,Auto Rickshaws,3256.0
2015,Punjab,Lahore,Sheikhupura,Tractors,26531.0
2015,Punjab,Lahore,Sheikhupura,Other Vehicles,66.0
2015,Punjab,Multan,Multan,Motor Cars/Jeeps/Station Wagons,150283.0
2015,Punjab,Multan,Multan,Motor Cycles/Scooters,948852.0
2015,Punjab,Multan,Multan,Pickups/Delivery Vans,4474.0
2015,Punjab,Multan,Multan,Trucks,16266.0
2015,Punjab,Multan,Multan,Mini Buses/Buses/Flying/Luxury Coaches,6847.0
2015,Punjab,Multan,Multan,Taxis,5580.0
2015,Punjab,Multan,Multan,Auto Rickshaws,10392.0
2015,Punjab,Multan,Multan,Tractors,48463.0
2015,Punjab,Multan,Multan,Other Vehicles,1857.0
2015,Punjab,Multan,Khanewal,Motor Cars/Jeeps/Station Wagons,2569.0
2015,Punjab,Multan,Khanewal,Motor Cycles/Scooters,198979.0
2015,Punjab,Multan,Khanewal,Pickups/Delivery Vans,261.0
2015,Punjab,Multan,Khanewal,Trucks,69.0
2015,Punjab,Multan,Khanewal,Mini Buses/Buses/Flying/Luxury Coaches,39.0
2015,Punjab,Multan,Khanewal,Taxis,516.0
2015,Punjab,Multan,Khanewal,Auto Rickshaws,334.0
2015,Punjab,Multan,Khanewal,Tractors,24651.0
2015,Punjab,Multan,Khanewal,Other Vehicles,63.0
2015,Punjab,Multan,Lodhran,Motor Cars/Jeeps/Station Wagons,2382.0
2015,Punjab,Multan,Lodhran,Motor Cycles/Scooters,57327.0
2015,Punjab,Multan,Lodhran,Pickups/Delivery Vans,59.0
2015,Punjab,Multan,Lodhran,Trucks,139.0
2015,Punjab,Multan,Lodhran,Mini Buses/Buses/Flying/Luxury Coaches,39.0
2015,Punjab,Multan,Lodhran,Taxis,110.0
2015,Punjab,Multan,Lodhran,Auto Rickshaws,682.0
2015,Punjab,Multan,Lodhran,Tractors,13753.0
2015,Punjab,Multan,Lodhran,Other Vehicles,27.0
2015,Punjab,Multan,Vehari,Motor Cars/Jeeps/Station Wagons,4810.0
2015,Punjab,Multan,Vehari,Motor Cycles/Scooters,299564.0
2015,Punjab,Multan,Vehari,Pickups/Delivery Vans,177.0
2015,Punjab,Multan,Vehari,Trucks,516.0
2015,Punjab,Multan,Vehari,Mini Buses/Buses/Flying/Luxury Coaches,120.0
2015,Punjab,Multan,Vehari,Taxis,1006.0
2015,Punjab,Multan,Vehari,Auto Rickshaws,2.0
2015,Punjab,Multan,Vehari,Tractors,40251.0
2015,Punjab,Multan,Vehari,Other Vehicles,145.0
2015,Punjab,Rawalpindi,Rawalpindi,Motor Cars/Jeeps/Station Wagons,127468.0
2015,Punjab,Rawalpindi,Rawalpindi,Motor Cycles/Scooters,557330.0
2015,Punjab,Rawalpindi,Rawalpindi,Pickups/Delivery Vans,38862.0
2015,Punjab,Rawalpindi,Rawalpindi,Trucks,16574.0
2015,Punjab,Rawalpindi,Rawalpindi,Mini Buses/Buses/Flying/Luxury Coaches,20362.0
2015,Punjab,Rawalpindi,Rawalpindi,Taxis,6825.0
2015,Punjab,Rawalpindi,Rawalpindi,Auto Rickshaws,20264.0
2015,Punjab,Rawalpindi,Rawalpindi,Tractors,4313.0
2015,Punjab,Rawalpindi,Rawalpindi,Other Vehicles,1219.0
2015,Punjab,Rawalpindi,Attock,Motor Cars/Jeeps/Station Wagons,6557.0
2015,Punjab,Rawalpindi,Attock,Motor Cycles/Scooters,76669.0
2015,Punjab,Rawalpindi,Attock,Pickups/Delivery Vans,805.0
2015,Punjab,Rawalpindi,Attock,Trucks,6202.0
2015,Punjab,Rawalpindi,Attock,Mini Buses/Buses/Flying/Luxury Coaches,160.0
2015,Punjab,Rawalpindi,Attock,Taxis,100.0
2015,Punjab,Rawalpindi,Attock,Auto Rickshaws,13689.0
2015,Punjab,Rawalpindi,Attock,Tractors,9524.0
2015,Punjab,Rawalpindi,Attock,Other Vehicles,47.0
2015,Punjab,Rawalpindi,Chakwal,Motor Cars/Jeeps/Station Wagons,4752.0
2015,Punjab,Rawalpindi,Chakwal,Motor Cycles/Scooters,78422.0
2015,Punjab,Rawalpindi,Chakwal,Pickups/Delivery Vans,4310.0
2015,Punjab,Rawalpindi,Chakwal,Trucks,227.0
2015,Punjab,Rawalpindi,Chakwal,Mini Buses/Buses/Flying/Luxury Coaches,237.0
2015,Punjab,Rawalpindi,Chakwal,Taxis,99.0
2015,Punjab,Rawalpindi,Chakwal,Auto Rickshaws,8270.0
2015,Punjab,Rawalpindi,Chakwal,Tractors,7449.0
2015,Punjab,Rawalpindi,Chakwal,Other Vehicles,28.0
2015,Punjab,Rawalpindi,Jhelum,Motor Cars/Jeeps/Station Wagons,17738.0
2015,Punjab,Rawalpindi,Jhelum,Motor Cycles/Scooters,167159.0
2015,Punjab,Rawalpindi,Jhelum,Pickups/Delivery Vans,8510.0
2015,Punjab,Rawalpindi,Jhelum,Trucks,1586.0
2015,Punjab,Rawalpindi,Jhelum,Mini Buses/Buses/Flying/Luxury Coaches,632.0
2015,Punjab,Rawalpindi,Jhelum,Taxis,234.0
2015,Punjab,Rawalpindi,Jhelum,Auto Rickshaws,12097.0
2015,Punjab,Rawalpindi,Jhelum,Tractors,6523.0
2015,Punjab,Rawalpindi,Jhelum,Other Vehicles,135.0
2015,Punjab,Sahiwal,Sahiwal,Motor Cars/Jeeps/Station Wagons,11222.0
2015,Punjab,Sahiwal,Sahiwal,Motor Cycles/Scooters,291990.0
2015,Punjab,Sahiwal,Sahiwal,Pickups/Delivery Vans,2350.0
2015,Punjab,Sahiwal,Sahiwal,Trucks,2908.0
2015,Punjab,Sahiwal,Sahiwal,Mini Buses/Buses/Flying/Luxury Coaches,1114.0
2015,Punjab,Sahiwal,Sahiwal,Taxis,2797.0
2015,Punjab,Sahiwal,Sahiwal,Auto Rickshaws,626.0
2015,Punjab,Sahiwal,Sahiwal,Tractors,55065.0
2015,Punjab,Sahiwal,Sahiwal,Other Vehicles,86.0
2015,Punjab,Sahiwal,Okara,Motor Cars/Jeeps/Station Wagons,3315.0
2015,Punjab,Sahiwal,Okara,Motor Cycles/Scooters,184691.0
2015,Punjab,Sahiwal,Okara,Pickups/Delivery Vans,941.0
2015,Punjab,Sahiwal,Okara,Trucks,581.0
2015,Punjab,Sahiwal,Okara,Mini Buses/Buses/Flying/Luxury Coaches,422.0
2015,Punjab,Sahiwal,Okara,Taxis,0.0
2015,Punjab,Sahiwal,Okara,Auto Rickshaws,1264.0
2015,Punjab,Sahiwal,Okara,Tractors,24331.0
2015,Punjab,Sahiwal,Okara,Other Vehicles,55.0
2015,Punjab,Sahiwal,Pakpattan,Motor Cars/Jeeps/Station Wagons,1472.0
2015,Punjab,Sahiwal,Pakpattan,Motor Cycles/Scooters,69422.0
2015,Punjab,Sahiwal,Pakpattan,Pickups/Delivery Vans,37.0
2015,Punjab,Sahiwal,Pakpattan,Trucks,230.0
2015,Punjab,Sahiwal,Pakpattan,Mini Buses/Buses/Flying/Luxury Coaches,265.0
2015,Punjab,Sahiwal,Pakpattan,Taxis,0.0
2015,Punjab,Sahiwal,Pakpattan,Auto Rickshaws,42.0
2015,Punjab,Sahiwal,Pakpattan,Tractors,9236.0
2015,Punjab,Sahiwal,Pakpattan,Other Vehicles,20.0
2015,Punjab,Sargodha,Sargodha,Motor Cars/Jeeps/Station Wagons,12379.0
2015,Punjab,Sargodha,Sargodha,Motor Cycles/Scooters,377499.0
2015,Punjab,Sargodha,Sargodha,Pickups/Delivery Vans,5727.0
2015,Punjab,Sargodha,Sargodha,Trucks,2401.0
2015,Punjab,Sargodha,Sargodha,Mini Buses/Buses/Flying/Luxury Coaches,2432.0
2015,Punjab,Sargodha,Sargodha,Taxis,1421.0
2015,Punjab,Sargodha,Sargodha,Auto Rickshaws,21965.0
2015,Punjab,Sargodha,Sargodha,Tractors,34610.0
2015,Punjab,Sargodha,Sargodha,Other Vehicles,133.0
2015,Punjab,Sargodha,Bhakkar,Motor Cars/Jeeps/Station Wagons,1462.0
2015,Punjab,Sargodha,Bhakkar,Motor Cycles/Scooters,92821.0
2015,Punjab,Sargodha,Bhakkar,Pickups/Delivery Vans,272.0
2015,Punjab,Sargodha,Bhakkar,Trucks,51.0
2015,Punjab,Sargodha,Bhakkar,Mini Buses/Buses/Flying/Luxury Coaches,244.0
2015,Punjab,Sargodha,Bhakkar,Taxis,68.0
2015,Punjab,Sargodha,Bhakkar,Auto Rickshaws,12923.0
2015,Punjab,Sargodha,Bhakkar,Tractors,9373.0
2015,Punjab,Sargodha,Bhakkar,Other Vehicles,36.0
2015,Punjab,Sargodha,Khushab,Motor Cars/Jeeps/Station Wagons,1470.0
2015,Punjab,Sargodha,Khushab,Motor Cycles/Scooters,82186.0
2015,Punjab,Sargodha,Khushab,Pickups/Delivery Vans,643.0
2015,Punjab,Sargodha,Khushab,Trucks,261.0
2015,Punjab,Sargodha,Khushab,Mini Buses/Buses/Flying/Luxury Coaches,367.0
2015,Punjab,Sargodha,Khushab,Taxis,23.0
2015,Punjab,Sargodha,Khushab,Auto Rickshaws,9643.0
2015,Punjab,Sargodha,Khushab,Tractors,14037.0
2015,Punjab,Sargodha,Khushab,Other Vehicles,44.0
2015,Punjab,Sargodha,Mianwali,Motor Cars/Jeeps/Station Wagons,2696.0
2015,Punjab,Sargodha,Mianwali,Motor Cycles/Scooters,134664.0
2015,Punjab,Sargodha,Mianwali,Pickups/Delivery Vans,2374.0
2015,Punjab,Sargodha,Mianwali,Trucks,1969.0
2015,Punjab,Sargodha,Mianwali,Mini Buses/Buses/Flying/Luxury Coaches,163.0
2015,Punjab,Sargodha,Mianwali,Taxis,225.0
2015,Punjab,Sargodha,Mianwali,Auto Rickshaws,4850.0
2015,Punjab,Sargodha,Mianwali,Tractors,9647.0
2015,Punjab,Sargodha,Mianwali,Other Vehicles,121.0
2016,Punjab,Bahawalpur,Bahawalpur,Motor Cars/Jeeps/Station Wagons,26169.0
2016,Punjab,Bahawalpur,Bahawalpur,Motor Cycles/Scooters,449986.0
2016,Punjab,Bahawalpur,Bahawalpur,Trucks,519.0
2016,Punjab,Bahawalpur,Bahawalpur,Pickups/Delivery Vans,5246.0
2016,Punjab,Bahawalpur,Bahawalpur,Mini Buses/Buses/Flying/Luxury Coaches,1006.0
2016,Punjab,Bahawalpur,Bahawalpur,Taxis,3979.0
2016,Punjab,Bahawalpur,Bahawalpur,Auto Rickshaws,7268.0
2016,Punjab,Bahawalpur,Bahawalpur,Tractors,27764.0
2016,Punjab,Bahawalpur,Bahawalpur,Other Vehicles,106.0
2016,Punjab,Bahawalpur,Bahawalnagar,Motor Cars/Jeeps/Station Wagons,2954.0
2016,Punjab,Bahawalpur,Bahawalnagar,Motor Cycles/Scooters,286256.0
2016,Punjab,Bahawalpur,Bahawalnagar,Trucks,78.0
2016,Punjab,Bahawalpur,Bahawalnagar,Pickups/Delivery Vans,410.0
2016,Punjab,Bahawalpur,Bahawalnagar,Mini Buses/Buses/Flying/Luxury Coaches,284.0
2016,Punjab,Bahawalpur,Bahawalnagar,Taxis,186.0
2016,Punjab,Bahawalpur,Bahawalnagar,Auto Rickshaws,702.0
2016,Punjab,Bahawalpur,Bahawalnagar,Tractors,34632.0
2016,Punjab,Bahawalpur,Bahawalnagar,Other Vehicles,141.0
2016,Punjab,Bahawalpur,R.Y.Khan,Motor Cars/Jeeps/Station Wagons,16793.0
2016,Punjab,Bahawalpur,R.Y.Khan,Motor Cycles/Scooters,647897.0
2016,Punjab,Bahawalpur,R.Y.Khan,Trucks,501.0
2016,Punjab,Bahawalpur,R.Y.Khan,Pickups/Delivery Vans,4389.0
2016,Punjab,Bahawalpur,R.Y.Khan,Mini Buses/Buses/Flying/Luxury Coaches,1198.0
2016,Punjab,Bahawalpur,R.Y.Khan,Taxis,143.0
2016,Punjab,Bahawalpur,R.Y.Khan,Auto Rickshaws,285.0
2016,Punjab,Bahawalpur,R.Y.Khan,Tractors,45043.0
2016,Punjab,Bahawalpur,R.Y.Khan,Other Vehicles,28.0
2016,Punjab,D.G.Khan,D.G.Khan,Motor Cars/Jeeps/Station Wagons,8044.0
2016,Punjab,D.G.Khan,D.G.Khan,Motor Cycles/Scooters,450194.0
2016,Punjab,D.G.Khan,D.G.Khan,Trucks,253.0
2016,Punjab,D.G.Khan,D.G.Khan,Pickups/Delivery Vans,890.0
2016,Punjab,D.G.Khan,D.G.Khan,Mini Buses/Buses/Flying/Luxury Coaches,329.0
2016,Punjab,D.G.Khan,D.G.Khan,Taxis,1452.0
2016,Punjab,D.G.Khan,D.G.Khan,Auto Rickshaws,626.0
2016,Punjab,D.G.Khan,D.G.Khan,Tractors,73982.0
2016,Punjab,D.G.Khan,D.G.Khan,Other Vehicles,185.0
2016,Punjab,D.G.Khan,Layyah,Motor Cars/Jeeps/Station Wagons,3998.0
2016,Punjab,D.G.Khan,Layyah,Motor Cycles/Scooters,146314.0
2016,Punjab,D.G.Khan,Layyah,Trucks,47.0
2016,Punjab,D.G.Khan,Layyah,Pickups/Delivery Vans,477.0
2016,Punjab,D.G.Khan,Layyah,Mini Buses/Buses/Flying/Luxury Coaches,202.0
2016,Punjab,D.G.Khan,Layyah,Taxis,121.0
2016,Punjab,D.G.Khan,Layyah,Auto Rickshaws,4585.0
2016,Punjab,D.G.Khan,Layyah,Tractors,14217.0
2016,Punjab,D.G.Khan,Layyah,Other Vehicles,140.0
2016,Punjab,D.G.Khan,Muzaffargarh,Motor Cars/Jeeps/Station Wagons,4425.0
2016,Punjab,D.G.Khan,Muzaffargarh,Motor Cycles/Scooters,137400.0
2016,Punjab,D.G.Khan,Muzaffargarh,Trucks,467.0
2016,Punjab,D.G.Khan,Muzaffargarh,Pickups/Delivery Vans,395.0
